No.,Question,Answer
1,What is the primary goal of the AI Crop Monitoring & Agricultural Intelligence Platform?,The AI Crop Monitoring & Agricultural Intelligence Platform is a professional-grade ecosystem for precision agriculture.
2,Explain the core architectural approach that makes the system both low-cost and scalable?,The system combines edge computing with cloud-based retraining.
3,"You are tasked with conducting exploratory data analysis (EDA) and model prototyping. In which directory of the Crop Monitor project structure would you place your work, and what tools would you typically use?","Use notebooks/ for experiments in Google Colab or Jupyter. This includes exploratory data analysis (EDA), model prototyping, and initial training scripts."
4,Where would you find production-ready code for modular components like recommendation engines?,src/
5,"If you need to define model training pipelines and export models to formats like ONNX or TFLite, which directory should you use?",ai/
6,"Describe the purpose of the docs/ and tests/ directories, and name at least one tool recommended for each?","The docs/ directory is used to store guides for farmers, administrators, and deployment engineers, with Sphinx or MkDocs recommended for generating documentation. The tests/ directory is used to ensure everything works before deployment, with pytest recommended for unit tests."
7,How does the platform ensure reproducibility and track versions of its datasets?,"The platform ensures reproducibility by pinning seeds and dependencies. It tracks dataset versions with hashes using DVC or Git LFS, storing metadata in MongoDB Atlas."
8,"What types of camera inputs are supported, and how are images processed for local testing?","Smartphone, webcam, drone, IP camera are supported. For local testing, developers test with OpenCV and webcams, processing images using cv2.imread."
9,"Explain the concept of ""Explainable AI"" in the context of this platform. Name two techniques used and describe how they build trust with farmers?","Explainable AI builds trust with farmers. Two techniques used are SHAP and Grad-CAM. Grad-CAM is used in notebooks to show heatmaps, and SHAP is used on structured models like credit risk, integrated into dashboards for visual explanations."
10,"How are recommendations (e.g., pesticide, fertilizer) generated and configured within the system?","Recommendations are generated by defining mappings in YAML/JSON configurations, specifically in src/config/treatments.yaml. These configurations are then loaded using PyYAML, and recommendations are generated based on model outputs."
11,"Describe the ""Continuous Learning"" mechanism, including how farmer feedback is collected and used for model evolution?",Collect farmer feedback into SQLite (offline) and sync to MongoDB Atlas; retrain models monthly using Colab free GPUs. Use active learning strategies like uncertainty sampling.
12,"What is the strategy for ""Offline Mode"" inference, and what technologies are used to enable it?","The strategy for Offline Mode inference is to export compressed models to TensorFlow Lite or ONNX and deploy them on mobile or edge devices for local inference. The technologies used to enable this are TFLite/ONNX models, tflite_runtime or ONNX Runtime for inference, and SQLite for local storage of offline data like images, predictions, and recommendations, which are then synced to MongoDB Atlas when online."
